permitnum,description,issuedate,applieddate,statuscurrent,jurisdiction,statuscurrentmapped,statusdate,totalsqft,projectcost,contractorcompanyname,contractortrade,contractorzip,ownerzip,projectcost_6_2026,originalcity_validated,originalzip_validated
21-06621644,SOLAR PANELS ON RESIDENTIAL ROOF,,2021-07-27,EXPIRED APPLICATION (XA),TC,Permit Cancelled,2022-12-22,465,16910,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,20685.22,Cary,27519
21-06631672,SOLAR PV SYSTEM,2021-11-17,2021-07-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-04-27,0,38011,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,46497.11,Cary,27519
21-06641812,SOLAR PV SYSTEM,,2021-07-30,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2022-08-18,0,14200,"TITAN SOLAR POWER NC, INC",GENERAL CONTRACTOR,85210,27519,17370.21,Cary,27519
21-06651684,SOLAR PANELS ON RESIDENTIAL ROOF,2021-08-12,2021-08-03,PERMIT ISSUED (PI),TC,Permit Issued,2021-08-18,388,17315,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,21136.98,Cary,27519
21-06660098,SOLAR PANELS ON RESIDENTIAL ROOF,2021-08-17,2021-08-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-08-25,501,19532,8M SOLAR,GENERAL CONTRACTOR,27587,27519,23843.34,Cary,27519
21-06671277,Solar PV System,2021-08-12,2021-08-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-08-30,0,17994,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,21965.85,Cary,27519
21-06680527,SOLAR PANELS ON RESIDENTIAL ROOF,,2021-08-06,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2022-02-21,370,20553,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27519,25089.71,Cary,27519
21-06691051,SOLAR PANELS ON RESIDENTIAL ROOF,2021-08-12,2021-08-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-15,386,13940,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,17017.0,Cary,27519
21-06701491,SOLAR PANELS ON RESIDENTIAL ROOF,2021-08-19,2021-08-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-06,429,22130,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,27014.8,Cary,27519
21-06710530,SOLAR PANELS ON RESIDENTIAL ROOF,,2021-08-10,EXPIRED APPLICATION (XA),TC,Permit Cancelled,2023-03-31,327,8352,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27511,10195.55,Cary,27511
21-06720896,SOLAR PV SYSTEM,2021-09-24,2021-08-12,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-04,0,13000,BLACK CAT SOLAR INC,GENERAL CONTRACTOR,28115,27518,15869.52,Cary,27518
21-06731164,SOLAR PV SYSTEM,2021-08-20,2021-08-17,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-18,0,50478,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,61620.11,Cary,27519
21-06740889,SOLAR PV SYSTEM,2021-08-30,2021-08-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-01-05,0,39836,"KENNETH RAY GODWIN, JR.",GENERAL CONTRACTOR,27540,27539,48629.08,Apex,27539
21-06751079,SOLAR PV SYSTEM,2021-09-02,2021-08-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-07,0,15695,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,19159.39,Cary,27519
21-06761377,SOLAR PV SYSTEM,2021-08-27,2021-08-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-11-30,0,0,OWNER (GENERAL),GENERAL CONTRACTOR,27519,27511,0.0,Cary,27511
21-06771941,SOLAR PANELS,2021-09-29,2021-08-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-08,350,17936,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27513,21895.05,Cary,27513
21-06780689,SOLAR PANELS ON RESIDENTIAL ROOF,2021-09-22,2021-08-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-15,332,23341,CAPE FEAR SOLAR SYSTEMS,GENERAL CONTRACTOR,28401,27519,28493.11,Cary,27519
